order_id,product_price_id,order_detail_id
530,74,629
521,90,623
528,64,617
504,100,611
506,90,600
506,99,603
520,89,627
522,81,622
525,62,624
500,96,616
501,68,615
522,93,607
507,86,625
505,61,601
530,69,625
506,83,619
510,77,600
520,64,601
503,61,611
529,74,630
523,78,612
507,91,627
508,100,619
515,70,613
530,89,608
509,85,604
527,80,614
522,66,620
509,60,610
503,87,609
523,96,611
522,81,621
520,81,608
519,66,605
523,61,626
504,99,625
506,78,630
509,89,628
509,91,627
530,98,616
514,96,630
514,75,623
520,66,629
527,100,609
505,78,600
516,65,623
519,83,617
512,68,617
514,85,600
516,89,622
519,98,629
526,96,623
504,79,629
514,87,627
524,91,614
525,61,616
505,90,601
517,70,604
528,71,626
503,85,600
505,96,623
524,63,627
514,82,613
517,99,609
517,93,606
517,83,617
523,77,628
500,80,605
521,65,615
518,98,600
507,71,624
530,72,626
520,83,624
504,75,626
503,79,615
504,77,630
526,93,606
505,72,619
510,69,611
529,98,622
503,68,627
513,86,610
524,75,611
510,93,629
507,98,605
514,85,622
514,99,609
504,66,629
508,80,620
526,81,629
519,90,601
508,62,619
514,81,601
503,92,627
527,62,620
515,96,616
522,72,607
503,98,616
523,72,607
518,99,625
501,68,611
523,80,602
525,70,630
529,84,620
521,77,611
529,80,610
507,76,600
530,78,610
515,98,627
516,60,627
505,100,625
527,80,616
523,85,604
508,70,625
504,83,627
521,93,615
506,65,600
503,84,607
520,98,629
501,65,624
507,80,613
514,99,616
525,80,610
504,93,605
511,70,622
508,74,614
518,72,630
524,76,610
504,79,608
508,66,606
502,100,629
518,76,616
508,85,610
509,63,604
525,68,625
512,69,608
509,74,617
528,69,608
501,89,613
504,75,600
514,78,604
527,77,613
505,82,606
501,98,606
516,69,610
511,96,613
522,100,612
507,81,630
521,65,603
520,74,620
503,96,609
504,90,603
514,61,611
526,88,600
503,85,627
530,82,612
513,77,620
526,96,613
506,63,607
524,62,623
518,86,628
516,93,614
514,68,625
516,69,600
524,70,604
513,69,609
521,70,622
510,96,626
513,89,609
528,96,630
502,98,625
512,75,618
508,87,600
501,60,615
518,82,621
516,79,617
511,77,619
514,62,609
507,98,627
527,96,627
521,85,626
507,99,615
516,98,606
518,78,620
519,64,614
509,83,622
523,85,607
511,66,615
514,74,605
511,91,614
507,87,619
508,80,629
514,93,626
506,70,623
519,93,600
524,87,601
521,81,615
506,84,627
516,81,624
520,62,625
511,74,622
505,80,627
529,63,626
525,86,601
507,76,622
514,71,623
526,75,625
526,90,606
508,93,629
528,61,619
500,77,616
512,70,607
522,98,607
527,71,609
500,86,618
530,85,613
514,96,622
522,91,611
504,84,614
527,96,615
513,81,615
500,77,600
526,69,604
529,88,609
500,76,630
512,60,612
514,87,603
503,83,612
523,83,630
525,60,614
524,91,628
510,79,627
514,91,606
514,63,618
526,88,602
514,65,625
509,72,615
518,90,610
514,88,602
518,90,615
514,60,606
515,70,622
509,87,624
526,60,629
500,85,615
503,84,615
510,89,617
517,76,600
529,89,602
512,75,606
522,71,624
515,96,610
519,62,623
525,66,625
521,77,617
505,80,615
513,72,610
525,89,619
527,96,616
522,98,624
515,85,626
527,71,601
519,83,625
523,61,612
524,65,615
528,96,620
500,72,624
514,92,617
515,64,626
505,96,619
520,91,611
514,74,623
525,90,601
511,77,621
506,74,607
501,91,626
521,84,621
527,77,606
521,85,600
515,88,612
520,74,603
506,90,615
510,74,600
503,76,611
521,70,612
513,90,625
515,66,606
523,69,615
528,66,630
505,96,627
524,89,616
530,72,608
507,62,627
504,62,625
521,80,613
501,74,621
502,61,609
500,62,624
502,77,621
509,92,628
503,78,621
513,85,624
524,86,612
508,91,605
524,61,628
504,85,616
528,71,628
507,93,616
524,61,614
525,75,618
511,89,612
511,88,606
505,99,617
522,85,620
517,78,604
505,78,627
514,70,619
508,91,606
506,82,600
509,90,604
503,96,600
505,86,603
512,91,612
512,91,617
530,66,603
517,87,609
516,74,615
522,77,622
526,72,615
510,60,610
504,78,607
525,76,609
521,87,617
528,65,608
519,89,614
508,85,622
529,82,612
503,78,613
517,96,619
514,96,625
522,61,628
505,62,622
504,75,601
505,82,606
511,91,617
530,91,624
527,60,610
520,78,602
501,86,619
501,60,627
517,68,612
527,81,605
500,62,608
530,63,629
527,80,622
530,99,612
514,71,610
529,90,628
521,61,615
505,76,611
508,78,617
522,84,624
513,74,622
507,81,606
519,96,605
501,90,607
505,64,626
510,84,600
524,80,617
506,93,618
520,64,618
529,85,629
514,65,606
504,84,624
516,72,603
502,81,627
517,81,619
505,82,611
521,62,612
503,92,614
502,60,624
525,63,608
500,79,602
512,70,621
513,88,629
524,82,609
502,91,628
501,77,606
523,99,610
508,68,617
512,75,608
523,65,603
514,78,626
513,85,607
501,81,612
518,66,627
519,80,605
501,85,604
512,89,619
529,74,603
525,79,626
524,62,607
514,77,619
505,71,600
500,60,612
504,70,629
510,98,613
519,86,618
500,99,627
512,92,601
518,85,623
502,100,618
503,71,613
516,90,603
508,91,614
510,79,629
524,90,624
521,66,625
529,62,606
525,93,602
505,98,600
505,77,607
520,89,623
521,75,630
509,96,622
